,Team ID,Team Name,Abbrev.,Player,Player ID,Avg. Points,Total Points,Injury Status,Acquisition Type
0,1,Pawn Stars,23,Luka Doncic,3945274,47.22727272727273,519.5,NORMAL,DRAFT
1,1,Pawn Stars,23,John Collins,3908845,25.666666666666668,308.0,NORMAL,DRAFT
2,1,Pawn Stars,23,Julius Randle,3064514,37.82142857142857,529.5,NORMAL,DRAFT
3,1,Pawn Stars,23,Kemba Walker,6479,16.0,16.0,NORMAL,DRAFT
4,1,Pawn Stars,23,Mason Plumlee,2488653,24.895833333333332,298.75,NORMAL,DRAFT
5,1,Pawn Stars,23,Darius Garland,4396907,27.666666666666668,166.0,NORMAL,DRAFT
6,1,Pawn Stars,23,Chris Boucher,3948153,30.270833333333332,363.25,NORMAL,TRADE
7,1,Pawn Stars,23,Jordan Clarkson,2528426,23.23076923076923,302.0,NORMAL,ADD
8,1,Pawn Stars,23,Christian Wood,3058254,37.025,370.25,NORMAL,TRADE
9,1,Pawn Stars,23,Coby White,4395651,24.596153846153847,319.75,NORMAL,TRADE
10,1,Pawn Stars,23,Jonas Valanciunas,6477,27.791666666666668,333.5,NORMAL,TRADE
11,1,Pawn Stars,23,Patrick Williams,4431687,16.5,214.5,NORMAL,ADD
12,1,Pawn Stars,23,Isaac Okoro,4432822,14.46875,115.75,NORMAL,ADD
13,1,Pawn Stars,23,Jakob Poeltl,3134908,16.307692307692307,212.0,NORMAL,ADD
14,1,Pawn Stars,23,Jae'Sean Tate,3136777,17.25,189.75,NORMAL,ADD
0,2,Towers Is The Best,TITB,Stephen Curry,3975,38.145833333333336,457.75,NORMAL,DRAFT
1,2,Towers Is The Best,TITB,Andre Drummond,6585,40.375,484.5,NORMAL,DRAFT
2,2,Towers Is The Best,TITB,Ja Morant,4279888,31.6875,126.75,NORMAL,DRAFT
3,2,Towers Is The Best,TITB,CJ McCollum,2490149,36.21153846153846,470.75,NORMAL,DRAFT
4,2,Towers Is The Best,TITB,Al Horford,3213,20.97222222222222,188.75,NORMAL,DRAFT
5,2,Towers Is The Best,TITB,Josh Richardson,2581190,17.65625,141.25,NORMAL,DRAFT
6,2,Towers Is The Best,TITB,James Wiseman,4432808,19.625,235.5,NORMAL,DRAFT
7,2,Towers Is The Best,TITB,Larry Nance Jr.,2580365,26.384615384615383,343.0,NORMAL,DRAFT
8,2,Towers Is The Best,TITB,De'Andre Hunter,4065732,24.291666666666668,291.5,NORMAL,ADD
9,2,Towers Is The Best,TITB,Shake Milton,3915195,23.5,258.5,NORMAL,ADD
10,2,Towers Is The Best,TITB,Marvin Bagley III,4277848,20.982142857142858,293.75,NORMAL,ADD
11,2,Towers Is The Best,TITB,Tyrese Haliburton,4396993,23.479166666666668,281.75,NORMAL,TRADE
12,2,Towers Is The Best,TITB,Keldon Johnson,4395723,26.576923076923077,345.5,NORMAL,TRADE
13,2,Towers Is The Best,TITB,DeAndre Jordan,3442,16.03846153846154,208.5,NORMAL,ADD
14,2,Towers Is The Best,TITB,Xavier Tillman,4277964,17.785714285714285,124.5,NORMAL,ADD
0,3,STOP THROWING  THE BALL,😡🤣,Karl-Anthony Towns,3136195,44.0,176.0,NORMAL,DRAFT
1,3,STOP THROWING  THE BALL,😡🤣,Zion Williamson,4395628,31.636363636363637,348.0,NORMAL,DRAFT
2,3,STOP THROWING  THE BALL,😡🤣,Paul George,4251,35.59615384615385,462.75,NORMAL,DRAFT
3,3,STOP THROWING  THE BALL,😡🤣,Khris Middleton,6609,33.94230769230769,441.25,NORMAL,DRAFT
4,3,STOP THROWING  THE BALL,😡🤣,Tobias Harris,6440,30.477272727272727,335.25,NORMAL,DRAFT
5,3,STOP THROWING  THE BALL,😡🤣,Jaylen Brown,3917376,36.166666666666664,434.0,NORMAL,DRAFT
6,3,STOP THROWING  THE BALL,😡🤣,Lonzo Ball,4066421,21.77777777777778,196.0,NORMAL,DRAFT
7,3,STOP THROWING  THE BALL,😡🤣,Collin Sexton,4277811,30.46875,243.75,NORMAL,DRAFT
8,3,STOP THROWING  THE BALL,😡🤣,Caris LeVert,2991043,29.270833333333332,351.25,NORMAL,DRAFT
9,3,STOP THROWING  THE BALL,😡🤣,OG Anunoby,3934719,24.083333333333332,289.0,NORMAL,DRAFT
10,3,STOP THROWING  THE BALL,😡🤣,Kyle Anderson,2993874,24.75,297.0,NORMAL,ADD
11,3,STOP THROWING  THE BALL,😡🤣,Kelly Olynyk,2489663,21.125,211.25,NORMAL,ADD
