,Team ID,Team Name,Abbrev.,Player,Player ID,Avg. Points,Total Points,Injury Status,Acquisition Type
0,1,Señorita  Gandhi,23,Luka Doncic,3945274,32.25,96.75,NORMAL,DRAFT
1,1,Señorita  Gandhi,23,Kyrie Irving,6442,38.75,116.25,NORMAL,DRAFT
2,1,Señorita  Gandhi,23,Donovan Mitchell,3908809,26.875,53.75,NORMAL,DRAFT
3,1,Señorita  Gandhi,23,John Collins,3908845,30.083333333333332,90.25,NORMAL,DRAFT
4,1,Señorita  Gandhi,23,Julius Randle,3064514,43.333333333333336,130.0,NORMAL,DRAFT
5,1,Señorita  Gandhi,23,Kemba Walker,6479,0.0,0.0,NORMAL,DRAFT
6,1,Señorita  Gandhi,23,Mason Plumlee,2488653,26.083333333333332,78.25,NORMAL,DRAFT
7,1,Señorita  Gandhi,23,Thomas Bryant,3934723,26.0,78.0,NORMAL,DRAFT
8,1,Señorita  Gandhi,23,Marvin Bagley III,4277848,19.166666666666668,57.5,NORMAL,DRAFT
9,1,Señorita  Gandhi,23,Darius Garland,4396907,34.0,102.0,NORMAL,DRAFT
10,1,Señorita  Gandhi,23,Chris Boucher,3948153,25.5,51.0,NORMAL,TRADE
11,1,Señorita  Gandhi,23,Cam Reddish,4395627,20.166666666666668,60.5,NORMAL,ADD
12,1,Señorita  Gandhi,23,Patrick Williams,4431687,13.416666666666666,40.25,NORMAL,ADD
13,1,Señorita  Gandhi,23,Tyus Jones,3135046,14.416666666666666,43.25,NORMAL,ADD
0,2,#Mamba Mentality🐍,BEAN,Stephen Curry,3975,37.583333333333336,112.75,NORMAL,DRAFT
1,2,#Mamba Mentality🐍,BEAN,Andre Drummond,6585,54.083333333333336,162.25,NORMAL,DRAFT
2,2,#Mamba Mentality🐍,BEAN,Ja Morant,4279888,21.375,42.75,NORMAL,DRAFT
3,2,#Mamba Mentality🐍,BEAN,CJ McCollum,2490149,42.333333333333336,127.0,NORMAL,DRAFT
4,2,#Mamba Mentality🐍,BEAN,Al Horford,3213,20.5,41.0,NORMAL,DRAFT
5,2,#Mamba Mentality🐍,BEAN,Victor Oladipo,2527963,33.875,67.75,NORMAL,DRAFT
6,2,#Mamba Mentality🐍,BEAN,Josh Richardson,2581190,19.666666666666668,59.0,NORMAL,DRAFT
7,2,#Mamba Mentality🐍,BEAN,Robert Covington,2490620,18.333333333333332,55.0,NORMAL,DRAFT
8,2,#Mamba Mentality🐍,BEAN,James Wiseman,4432808,18.666666666666668,56.0,NORMAL,DRAFT
9,2,#Mamba Mentality🐍,BEAN,Anthony Edwards,4594268,17.5,52.5,NORMAL,DRAFT
10,2,#Mamba Mentality🐍,BEAN,Larry Nance Jr.,2580365,23.666666666666668,71.0,NORMAL,DRAFT
11,2,#Mamba Mentality🐍,BEAN,Cody Zeller,2579258,0.0,0.0,NORMAL,ADD
12,2,#Mamba Mentality🐍,BEAN,De'Andre Hunter,4065732,23.0,69.0,NORMAL,ADD
13,2,#Mamba Mentality🐍,BEAN,Rajon Rondo,3026,18.125,36.25,NORMAL,ADD
14,2,#Mamba Mentality🐍,BEAN,Jakob Poeltl,3134908,18.25,54.75,NORMAL,ADD
0,3,Long Live the  BEAN,KOBE,Karl-Anthony Towns,3136195,38.5,38.5,NORMAL,DRAFT
1,3,Long Live the  BEAN,KOBE,Zion Williamson,4395628,33.666666666666664,101.0,NORMAL,DRAFT
2,3,Long Live the  BEAN,KOBE,Paul George,4251,30.4375,121.75,NORMAL,DRAFT
3,3,Long Live the  BEAN,KOBE,Khris Middleton,6609,32.875,131.5,NORMAL,DRAFT
4,3,Long Live the  BEAN,KOBE,Tobias Harris,6440,36.333333333333336,109.0,NORMAL,DRAFT
5,3,Long Live the  BEAN,KOBE,Jaylen Brown,3917376,35.6875,142.75,NORMAL,DRAFT
6,3,Long Live the  BEAN,KOBE,Lonzo Ball,4066421,20.0,60.0,NORMAL,DRAFT
7,3,Long Live the  BEAN,KOBE,Collin Sexton,4277811,29.75,89.25,NORMAL,DRAFT
8,3,Long Live the  BEAN,KOBE,Caris LeVert,2991043,26.125,104.5,NORMAL,DRAFT
9,3,Long Live the  BEAN,KOBE,OG Anunoby,3934719,33.5,67.0,NORMAL,DRAFT
10,3,Long Live the  BEAN,KOBE,Luguentz Dort,4397020,24.666666666666668,74.0,NORMAL,ADD
11,3,Long Live the  BEAN,KOBE,Kyle Anderson,2993874,28.833333333333332,86.5,NORMAL,ADD
12,3,Long Live the  BEAN,KOBE,Josh Jackson,4066297,25.666666666666668,77.0,NORMAL,ADD
13,3,Long Live the  BEAN,KOBE,Miles Bridges,4066383,28.25,84.75,NORMAL,ADD
0,4,Jeanie Buss It,NANI,Kevin Durant,3202,41.166666666666664,123.5,NORMAL,DRAFT
1,4,Jeanie Buss It,NANI,Ben Simmons,3907387,32.333333333333336,97.0,NORMAL,DRAFT
2,4,Jeanie Buss It,NANI,Jrue Holiday,3995,29.125,116.5,NORMAL,DRAFT
3,4,Jeanie Buss It,NANI,Domantas Sabonis,3155942,38.0,114.0,NORMAL,DRAFT
4,4,Jeanie Buss It,NANI,Mitchell Robinson,4351852,25.0,75.0,NORMAL,DRAFT
5,4,Jeanie Buss It,NANI,Michael Porter Jr.,4278104,29.833333333333332,89.5,NORMAL,DRAFT
6,4,Jeanie Buss It,NANI,Rui Hachimura,4066648,0.0,0.0,NORMAL,DRAFT
7,4,Jeanie Buss It,NANI,RJ Barrett,4395625,19.5,58.5,NORMAL,DRAFT
8,4,Jeanie Buss It,NANI,Bogdan Bogdanovic,3037789,24.0,72.0,NORMAL,DRAFT
9,4,Jeanie Buss It,NANI,Seth Curry,2326307,22.166666666666668,66.5,NORMAL,DRAFT
10,4,Jeanie Buss It,NANI,Jae Crowder,6581,19.666666666666668,59.0,NORMAL,DRAFT
11,4,Jeanie Buss It,NANI,Joe Harris,2528794,18.1875,72.75,NORMAL,DRAFT
12,4,Jeanie Buss It,NANI,Carmelo Anthony,1975,15.875,31.75,NORMAL,DRAFT
