,Player,DRIVEPTS,CSPTS,PULLPTS,PAINTPTS,POSTPTS,ELBOWPTS,DRIVEPTS%,CSPTS%,PULLPTS%,PAINTPTS%,POSTPTS%,ELBOWPTS%
427,Rudy Gay,2.7,4.8,3.7,1.2,0.5,0.8,0.522,0.37,0.47200000000000003,0.545,0.667,0.667
428,Rudy Gobert,0.4,0.0,0.0,9.9,0.0,3.5,0.5,0.0,0.0,0.627,0.0,0.609
429,Rui Hachimura,1.4,1.7,2.9,3.1,3.0,0.9,0.625,0.222,0.588,0.5,0.667,0.375
430,Russell Westbrook,3.4,3.3,7.6,1.4,0.6,0.3,0.276,0.32,0.35700000000000004,0.7140000000000001,0.0,0.5
431,Ryan Arcidiacono,2.0,1.5,2.0,0.0,0.0,0.0,1.0,0.33299999999999996,0.33299999999999996,0.0,0.0,0.0
432,Saben Lee,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
433,Saddiq Bey,0.4,7.2,0.7,0.7,0.2,0.0,0.182,0.45799999999999996,0.2,0.0,0.0,0.0
434,Sam Merrill,0.0,0.9,0.9,0.0,0.0,0.0,0.0,0.667,0.5,0.0,0.0,0.0
435,Sean McDermott,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0
436,Sekou Doumbouya,0.8,2.1,0.0,0.8,0.2,0.2,0.111,0.41200000000000003,0.0,0.4,0.0,0.5
437,Semi Ojeleye,0.3,4.1,0.0,0.3,0.0,0.2,0.2,0.44799999999999995,0.0,0.5,0.0,1.0
438,Serge Ibaka,0.6,4.5,0.5,5.2,1.1,1.1,0.6,0.413,0.33299999999999996,0.5710000000000001,0.545,0.41700000000000004
439,Seth Curry,3.8,7.8,4.6,0.0,0.0,0.0,0.667,0.6559999999999999,0.5329999999999999,0.0,0.0,0.0
440,Shai Gilgeous-Alexander,10.7,2.0,7.1,0.2,0.0,0.0,0.514,0.33299999999999996,0.44799999999999995,0.0,0.0,0.0
441,Shake Milton,6.9,3.3,2.3,0.2,0.0,0.2,0.622,0.303,0.37,0.0,0.0,0.0
442,Shaquille Harrison,2.3,0.0,0.5,0.0,0.0,0.0,0.667,0.0,0.5,0.0,0.0,0.0
443,Sindarius Thornwell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
444,Skylar Mays,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
445,Solomon Hill,0.5,4.5,0.3,0.2,0.0,0.2,0.25,0.41700000000000004,0.25,0.25,0.0,0.0
446,Spencer Dinwiddie,2.0,2.0,0.0,1.3,0.0,0.0,0.33299999999999996,0.4,0.0,1.0,0.0,0.0
447,Stanley Johnson,0.0,0.8,0.0,0.8,0.0,0.0,0.0,0.222,0.0,0.429,0.0,0.0
448,Stephen Curry,6.5,5.3,10.9,1.0,0.0,0.4,0.511,0.38299999999999995,0.396,0.5710000000000001,0.0,0.667
449,Sterling Brown,0.8,3.4,2.1,0.4,0.0,0.0,0.75,0.429,0.75,0.5,0.0,0.0
450,Steven Adams,0.8,0.2,0.0,6.9,1.6,2.1,0.6,0.33299999999999996,0.0,0.659,0.875,0.563
451,Svi Mykhailiuk,0.6,4.5,0.9,0.2,0.0,0.2,0.33299999999999996,0.306,0.214,0.5,0.0,1.0
452,T.J. McConnell,3.0,0.0,1.0,0.3,0.0,0.0,0.632,0.0,0.667,1.0,0.0,0.0
453,T.J. Warren,2.8,0.0,4.5,5.3,0.8,2.0,0.5,0.0,0.45,0.9,0.5,1.0
454,Tacko Fall,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
455,Talen Horton-Tucker,3.4,1.8,0.6,0.6,0.0,0.4,0.517,0.4,0.2,0.6,0.0,0.667
456,Taurean Prince,1.5,2.7,1.3,0.7,0.0,0.4,0.368,0.32299999999999995,0.4,1.0,0.0,1.0
457,Terance Mann,0.4,0.0,0.0,0.8,0.0,0.0,0.25,0.0,0.0,0.667,0.0,0.0
458,Terence Davis,1.6,2.6,1.6,0.7,0.0,0.0,0.444,0.429,0.4,1.0,0.0,0.0
459,Terrance Ferguson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
460,Terrence Ross,2.1,5.1,5.3,1.2,0.0,0.4,0.348,0.486,0.348,0.857,0.0,0.667
461,Terry Rozier,3.8,7.1,5.0,0.4,0.0,0.2,0.483,0.46399999999999997,0.449,0.33299999999999996,0.0,0.33299999999999996
462,Thaddeus Young,0.9,1.9,0.0,2.4,1.6,2.1,0.5,0.385,0.0,0.727,0.5710000000000001,0.778
463,Thanasis Antetokounmpo,0.4,0.0,0.3,0.8,0.2,0.2,1.0,0.0,0.5,0.75,1.0,0.5
