,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,Zion Williamson,NOP,11,5,6,32.3,22.6,5.8,55.3,0.2,33.3,0.2,33.3,9.4,68.8,3.8,57.1,1.8,38.9,57.5
