,Year,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
182,2021,Joe Harris,SF,29,BRK,10,7,28.8,5.7,10.6,.538,3.0,5.7,.526,2.7,4.9,.551,.679,0.4,0.8,.500,1.0,2.7,3.7,1.8,0.6,0.4,1.0,2.4,14.8
183,2021,Tobias Harris,PF,28,PHI,9,9,32.9,7.6,14.9,.507,2.3,5.2,.447,5.2,9.7,.540,.586,1.6,1.9,.824,1.4,6.4,7.9,3.1,1.1,1.0,2.2,2.2,19.0
184,2021,Shaquille Harrison,SG,27,UTA,4,0,4.3,1.0,1.5,.667,0.0,0.0,,1.0,1.5,.667,.667,0.3,0.5,.500,0.0,0.3,0.3,0.3,0.3,0.0,0.3,0.0,2.3
185,2021,Josh Hart,SF,25,NOP,9,0,28.1,2.7,6.3,.421,1.4,4.0,.361,1.2,2.3,.524,.535,1.7,2.3,.714,1.0,7.4,8.4,1.2,1.0,0.1,0.9,2.1,8.4
186,2021,Isaiah Hartenstein,C,22,DEN,7,0,9.4,2.0,3.9,.519,0.0,0.0,,2.0,3.9,.519,.519,0.7,1.4,.500,2.0,1.4,3.4,0.4,0.4,0.9,1.0,2.1,4.7
187,2021,Jaxson Hayes,C,20,NOP,9,0,11.1,1.0,1.9,.529,0.0,0.0,,1.0,1.9,.529,.529,0.8,1.0,.778,1.1,2.4,3.6,0.6,0.2,0.6,0.7,1.8,2.8
188,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,2021,Killian Hayes,PG,19,DET,7,7,21.1,1.9,6.7,.277,0.7,2.9,.250,1.1,3.9,.296,.330,0.1,0.3,.500,0.1,1.0,1.1,3.6,0.3,0.0,2.4,2.1,4.6
190,2021,Gordon Hayward,SF,30,CHO,10,10,34.8,8.1,16.6,.488,2.1,5.5,.382,6.0,11.1,.541,.551,3.1,3.4,.912,0.6,4.8,5.4,4.1,1.5,0.3,2.2,2.6,21.4
191,2021,Juan Hernangómez,PF,25,MIN,9,4,18.7,2.6,6.2,.411,1.1,3.3,.333,1.4,2.9,.500,.500,0.6,0.9,.625,0.9,3.8,4.7,0.4,0.6,0.2,0.4,0.9,6.8
192,2021,Willy Hernangómez,C,26,NOP,1,0,7.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,1.0,4.0,.250,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0
193,2021,Tyler Herro,SG,21,MIA,8,8,33.3,6.0,12.6,.475,1.5,5.3,.286,4.5,7.4,.610,.535,2.1,2.9,.739,0.1,6.6,6.8,3.9,0.4,0.0,2.4,1.9,15.6
194,2021,Buddy Hield,SG,28,SAC,10,10,34.3,4.9,14.1,.348,3.3,9.8,.337,1.6,4.3,.372,.465,1.3,1.6,.813,0.3,3.9,4.2,2.7,0.6,0.4,1.8,2.9,14.4
195,2021,George Hill,PG,34,OKC,7,7,25.4,4.1,8.4,.492,1.9,4.6,.406,2.3,3.9,.593,.602,1.4,1.7,.833,0.9,1.3,2.1,3.6,0.9,0.3,0.9,1.1,11.6
196,2021,Solomon Hill,PF,29,ATL,9,0,17.1,1.7,4.6,.366,1.4,3.7,.394,0.2,0.9,.250,.524,0.3,0.3,1.000,0.4,1.9,2.3,0.7,0.6,0.4,0.7,2.0,5.1
197,2021,Nate Hinton,SG,21,DAL,1,0,0.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,2021,Aaron Holiday,PG,24,IND,9,6,21.3,2.2,6.0,.370,0.9,3.2,.276,1.3,2.8,.480,.444,0.1,0.2,.500,0.3,1.2,1.6,1.6,0.8,0.2,0.8,2.8,5.4
199,2021,Jrue Holiday,PG,30,MIL,10,10,31.2,5.9,12.0,.492,1.8,4.5,.400,4.1,7.5,.547,.567,1.4,1.7,.824,1.0,3.3,4.3,5.2,2.1,0.6,1.4,2.3,15.0
200,2021,Justin Holiday,SG,31,IND,9,0,29.3,4.0,7.4,.537,1.8,4.2,.421,2.2,3.2,.690,.657,1.4,1.9,.765,0.7,3.0,3.7,1.2,1.2,0.3,1.0,2.3,11.2
201,2021,Richaun Holmes,C,27,SAC,9,9,27.2,5.6,8.0,.694,0.0,0.1,.000,5.6,7.9,.704,.694,1.8,2.1,.842,2.7,4.8,7.4,1.6,1.1,1.0,1.2,4.2,12.9
202,2021,Rodney Hood,SF,28,POR,7,0,13.9,0.7,3.6,.200,0.4,1.7,.250,0.3,1.9,.154,.260,0.0,0.0,,0.0,1.4,1.4,1.9,0.7,0.1,0.7,1.0,1.9
203,2021,Al Horford,C,34,OKC,7,7,26.7,3.9,9.7,.397,1.9,5.6,.333,2.0,4.1,.483,.493,0.1,0.4,.333,0.7,6.6,7.3,2.3,0.3,0.7,0.9,1.3,9.7
204,2021,Talen Horton-Tucker,SG,20,LAL,9,0,16.6,2.7,6.2,.429,0.7,2.1,.316,2.0,4.1,.486,.482,1.1,1.2,.909,0.3,2.0,2.3,1.7,0.7,0.7,0.7,1.6,7.1
205,2021,Danuel House,SF,27,HOU,4,4,32.5,2.5,6.8,.370,0.8,3.8,.200,1.8,3.0,.583,.426,1.8,2.5,.700,0.3,4.3,4.5,2.3,0.3,0.3,0.3,2.5,7.5
206,2021,Dwight Howard,C,35,PHI,10,2,14.7,2.6,3.7,.703,0.2,0.3,.667,2.4,3.4,.706,.730,1.0,1.8,.556,1.9,4.9,6.8,0.7,0.2,0.6,2.1,3.5,6.4
207,2021,Markus Howard,SG,21,DEN,4,0,1.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
